,Run,Assay Type,BioProject,BioSample,Center Name,Consent,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,create_date,version,culture_collection,AvgSpotLen,Bases,Coriell_panel,Family_Id,HapMap_sample_ID,Coriell_plate,relationship_type,local_family_id,Relationship,type,sample_type,local_id,AssemblyName,cell_line,cell_type,Collection,ETHNICITY,family_role,RACE,Tag,relationship_type_(unrel_,_duo,_trio),Chinese_Code,dna_source,fosmid_library_source,isolate,tissue-type,fosmid_library_name,bio_material,bio-material,Gene,Karyotype,Mutation,subject_id,ENA_first_public,ENA-LAST-UPDATE
23136,ERR3240114,WGS,PRJEB31736,SAMN00004622,NYGC,public,HG00096,2019-03-22,2019-03-22,ERX3267489,Illumina NovaSeq 6000,HG00096,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00096,male,ERP114329,EUR,European,10624546025.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1.0,CORIELL:HG00096,300.0,115207369500.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23137,ERR3240115,WGS,PRJEB31736,SAMN00004623,NYGC,public,HG00097,2019-03-22,2019-03-22,ERX3267490,Illumina NovaSeq 6000,HG00097,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00097,female,ERP114329,EUR,European,10732594034.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:20:00Z,1.0,CORIELL:HG00097,300.0,114209267700.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23138,ERR3240116,WGS,PRJEB31736,SAMN00004625,NYGC,public,HG00099,2019-03-22,2019-03-22,ERX3267491,Illumina NovaSeq 6000,HG00099,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00099,female,ERP114329,EUR,European,13198731520.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:40:00Z,1.0,CORIELL:HG00099,300.0,128644524300.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23139,ERR3240117,WGS,PRJEB31736,SAMN00004626,NYGC,public,HG00100,2019-03-22,2019-03-22,ERX3267492,Illumina NovaSeq 6000,HG00100,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00100,female,ERP114329,EUR,European,10498904137.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:03:00Z,1.0,CORIELL:HG00100,300.0,106628154900.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23140,ERR3240118,WGS,PRJEB31736,SAMN00004627,NYGC,public,HG00101,2019-03-22,2019-03-22,ERX3267493,Illumina NovaSeq 6000,HG00101,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00101,male,ERP114329,EUR,European,11743815249.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:18:00Z,1.0,CORIELL:HG00101,300.0,115621345500.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23141,ERR3240119,WGS,PRJEB31736,SAMN00004628,NYGC,public,HG00102,2019-03-22,2019-03-22,ERX3267494,Illumina NovaSeq 6000,HG00102,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00102,female,ERP114329,EUR,European,10603202537.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:21:00Z,1.0,CORIELL:HG00102,300.0,111530667300.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23142,ERR3240120,WGS,PRJEB31736,SAMN00004629,NYGC,public,HG00103,2019-03-22,2019-03-22,ERX3267495,Illumina NovaSeq 6000,HG00103,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00103,male,ERP114329,EUR,European,10357636273.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:11:00Z,1.0,CORIELL:HG00103,300.0,111633739800.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23143,ERR3240121,WGS,PRJEB31736,SAMN00004631,NYGC,public,HG00105,2019-03-22,2019-03-22,ERX3267496,Illumina NovaSeq 6000,HG00105,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00105,male,ERP114329,EUR,European,10494145426.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:00:00Z,1.0,CORIELL:HG00105,300.0,96365180700.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23144,ERR3240122,WGS,PRJEB31736,SAMN00004632,NYGC,public,HG00106,2019-03-22,2019-03-22,ERX3267497,Illumina NovaSeq 6000,HG00106,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00106,female,ERP114329,EUR,European,12497322962.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:33:00Z,1.0,CORIELL:HG00106,300.0,123771119400.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
23145,ERR3240123,WGS,PRJEB31736,SAMN00004633,NYGC,public,HG00107,2019-03-22,2019-03-22,ERX3267498,Illumina NovaSeq 6000,HG00107,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,"British From England and Scotland, UK",GBR,2019-03-25T00:00:00Z,HG00107,male,ERP114329,EUR,European,10795166925.0,"run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2019-05-28T03:46:00Z,1.0,CORIELL:HG00107,300.0,114175452600.0,MGP00003,,,,,,unrelated,,,,JTFH01,,,,,,,,,,,,,,,,,,,,,,,,
